,compiler,threads,epsilon,min_points,clusters,noise_points,app_runtime_s,perf_runtime_s,energy_S0_J,energy_S1_J,jobid,node_avgpower_W,node_energy_W,avx,avgpower_s0_W,avgpower_s1_W
0,gnu,24,25.0,215,2811.0,8016799.0,262.165992,262.970575504,54927.66,26754.89,2203224.0,381.330985915493,108298.0,,208.87378709472577,101.7410025768949
1,intel,32,25.0,215,2811.0,8016799.0,134.668308,135.441893352,31313.05,13804.95,2203179.0,374.653846153846,58446.0,_avx,231.19176220182112,101.92525856178273
2,gnu,24,25.0,215,2811.0,8016799.0,263.053626,263.845949271,55308.29,27053.65,2203176.0,382.401408450704,108602.0,,209.6234190929043,102.53577921036342
3,intel,8,25.0,215,2811.0,8016799.0,494.570652,495.422352765,73087.98,50564.17,2203214.0,332.908737864078,171448.0,,147.5266095526149,102.06275457253085
4,intel,8,25.0,215,2811.0,8016799.0,494.745402,495.58353588,73546.48,50796.99,2203166.0,330.56976744186,170574.0,,148.40380011697656,102.49934939787813
5,gnu,38,25.0,215,2811.0,8016799.0,220.359678,221.086576433,52729.89,22486.4,2203185.0,408.487603305785,98854.0,_avx,238.50335398350032,101.70857210236133
6,gnu,38,25.0,215,2811.0,8016799.0,198.389146,199.172488081,49125.06,20219.15,2203232.0,409.374429223744,89653.0,,246.64581174495186,101.51577757956824
7,intel,38,25.0,215,2811.0,8016799.0,121.672927,122.439829173,28374.86,12508.44,2203207.0,362.236111111111,52162.0,_avx,231.74534129664664,102.15989424753556
8,intel,38,25.0,215,2811.0,8016799.0,144.482331,145.294476363,34708.9,14784.36,2203182.0,385.993975903614,64075.0,,238.88657620599542,101.75445323236606
9,intel,16,25.0,215,2811.0,8016799.0,226.652473,227.387100352,40462.7,23308.91,2203171.0,347.237903225806,86115.0,_avx,177.94633001328083,102.50761790760038
10,intel,38,25.0,215,2811.0,8016799.0,121.62789,122.41075546,28335.72,12428.11,2203231.0,363.762237762238,52018.0,_avx,231.48063986304885,101.52792500378871
11,intel,1,25.0,215,2811.0,8016799.0,3707.885329,3708.667633384,394804.91,379487.94,2203210.0,295.1456154465,1100598.0,,106.45464868464296,102.3246021250315
12,gnu,24,25.0,215,2811.0,8016799.0,293.212445,293.945110174,58209.38,30133.85,2203201.0,372.314285714286,117279.0,_avx,198.02806029174332,102.51522803751473
13,intel,32,25.0,215,2811.0,8016799.0,157.593091,158.425230596,38085.07,16170.52,2203202.0,385.519553072626,69008.0,,240.39775644777626,102.07035798001408
14,intel,1,25.0,215,,,,,,,,,,_avx,,
15,gnu,8,25.0,215,2812.0,8016799.0,620.332913,621.112904912,85079.96,63683.94,2203169.0,323.154205607477,207465.0,_avx,136.97986199796352,102.53198652992538
16,intel,16,25.0,215,2811.0,8016799.0,265.719298,266.547385273,50845.39,27090.16,2203218.0,365.829268292683,104993.0,,190.7555384492845,101.6335612230975
17,intel,24,25.0,215,2811.0,8016799.0,193.777295,194.58988791,43507.58,19987.39,2203174.0,386.609302325581,83121.0,,223.5860273485678,102.71546078100621
18,intel,8,25.0,215,2811.0,8016799.0,416.466838,417.215394518,58426.28,42679.51,2203215.0,318.100456621005,139328.0,_avx,140.03864854387416,102.29610546683381
19,intel,38,25.0,215,2811.0,8016799.0,144.898772,145.743746046,34762.62,14726.41,2203230.0,393.210843373494,65273.0,,238.51877657260255,101.04316925785628
20,gnu,38,25.0,215,2811.0,8016799.0,197.986106,198.776620507,49079.04,20236.13,2203208.0,410.296803652968,89855.0,,246.90549560013102,101.80337078065666
21,gnu,1,25.0,215,2811.0,8016799.0,2981.368101,2982.069311694,314029.92,303959.46,2203213.0,292.768231768232,879183.0,_avx,105.30604327959485,101.92903927753852
22,intel,24,25.0,215,2811.0,8016799.0,167.140783,167.866684952,34000.11,17080.9,2203199.0,360.126984126984,68064.0,_avx,202.54233298121082,101.75276890041721
23,gnu,1,25.0,215,2811.0,8016799.0,2562.174534,2562.978595656,274302.65,262669.79,2203164.0,295.486256291134,763241.0,,107.02494763901517,102.48614266432025
24,intel,1,25.0,215,2811.0,8016799.0,3065.79384,3066.57680829,323890.98,313510.3,2203163.0,293.701652089407,906657.0,_avx,105.6197187445012,102.23461520757446
25,intel,1,25.0,215,2811.0,8016799.0,3066.510219,3067.257095692,323160.08,313236.21,2203187.0,293.157383419689,905270.0,_avx,105.358002253506,102.1225806079132
26,intel,1,25.0,215,2811.0,8016799.0,3706.268121,3707.986405654,395272.56,380199.85,2203162.0,295.738733905579,1102514.0,,106.60032609539284,102.53539479547844
27,gnu,32,25.0,215,2811.0,8016799.0,242.161041,242.896115672,55343.41,24687.98,2203229.0,392.813688212928,103310.0,_avx,227.84806519810374,101.64007741209804
28,gnu,8,25.0,215,2811.0,8016799.0,513.598417,514.414637564,73835.9,52412.37,2203192.0,325.605607476635,174199.0,,143.5338239005958,101.88740011014792
29,intel,1,25.0,215,2811.0,8016799.0,3065.442009,3066.66830503,324563.88,313340.19,2203211.0,293.776554404145,907182.0,_avx,105.83599128332366,102.17609432557616
30,gnu,8,25.0,215,2811.0,8016799.0,516.40953,517.223833123,74327.04,52782.4,2203216.0,327.526022304833,176209.0,,143.70381881131226,102.04943511844692
31,gnu,1,25.0,215,2811.0,8016799.0,2976.003953,2976.752865872,315432.57,305375.57,2203165.0,294.825825825826,883593.0,_avx,105.96532000233694,102.58680641617333
32,gnu,32,25.0,215,2811.0,8016799.0,242.648946,243.388873922,55404.98,24843.92,2203181.0,397.965909090909,105063.0,_avx,227.63974008834893,102.07500285309611
33,intel,38,25.0,215,2811.0,8016799.0,144.823341,145.681581358,34764.59,14765.35,2203206.0,385.024096385542,63914.0,,238.6340790368619,101.35358129944663
34,intel,24,25.0,215,2811.0,8016799.0,167.213799,167.978388315,34059.53,17143.62,2203175.0,360.518518518519,68138.0,_avx,202.76138104224555,102.05848604673821
35,gnu,8,25.0,215,2811.0,8016799.0,620.008363,620.772930953,84872.11,63209.23,2203217.0,320.808112324493,205638.0,_avx,136.7200561881875,101.82343148075459
36,gnu,16,25.0,215,2811.0,8016799.0,334.349042,335.135965923,60769.83,34383.41,2203196.0,358.005617977528,127450.0,,181.32888194388042,102.59540454067483
37,gnu,16,25.0,215,2811.0,8016799.0,335.499064,336.286277099,60918.57,34384.73,2203172.0,356.912921348315,127061.0,,181.15092452037837,102.2483887734658
38,gnu,24,25.0,215,2811.0,8016799.0,292.975478,293.71318686,58359.07,30134.48,2203177.0,373.971337579618,117427.0,_avx,198.69407507337138,102.59832158766424
39,intel,1,25.0,215,2811.0,8016799.0,3709.429122,3710.199773386,393949.3,377861.19,2203234.0,294.389975877781,1098369.0,,106.18007764052939,101.84389334247535
40,intel,16,25.0,215,2811.0,8016799.0,226.429491,227.191133069,40267.77,23118.68,2203195.0,346.721774193548,85987.0,_avx,177.24182038288578,101.75872485735897
41,gnu,24,25.0,215,2811.0,8016799.0,293.45235,294.183120472,58036.86,29935.98,2203225.0,371.234920634921,116939.0,_avx,197.2814072638946,101.75967931800245
42,intel,8,25.0,215,2811.0,8016799.0,416.494936,417.247271905,58266.65,42652.62,2203191.0,317.057077625571,138871.0,_avx,139.6453707988924,102.2238439217675
43,intel,32,25.0,215,2811.0,8016799.0,157.699411,158.521736068,38065.06,16045.1,2203226.0,394.268156424581,70574.0,,240.1251774310085,101.21703431961686
44,gnu,16,25.0,215,2811.0,8016799.0,375.946476,376.694413775,64733.4,38518.52,2203173.0,352.969773299748,140129.0,_avx,171.84592505973646,102.25402499068423
45,intel,38,25.0,215,2811.0,8016799.0,121.414122,122.199964501,28325.64,12457.06,2203183.0,366.048951048951,52345.0,_avx,231.79744867903136,101.93996414702772
46,gnu,32,25.0,215,2811.0,8016799.0,241.908293,242.65567781,55286.97,24702.8,2203205.0,399.319391634981,105021.0,_avx,227.84123783532416,101.80186271735357
47,intel,8,25.0,215,2811.0,8016799.0,416.218663,416.958408531,58461.75,42591.71,2203167.0,319.052631578947,139426.0,_avx,140.21002767630597,102.14858155770564
48,gnu,16,25.0,215,2811.0,8016799.0,378.010888,378.737557767,64932.24,38531.94,2203221.0,350.591478696742,139886.0,_avx,171.44388949127253,101.73783721683319
49,gnu,1,25.0,215,2811.0,8016799.0,2584.076771,2584.830906056,274072.66,264062.59,2203188.0,293.935892514395,765703.0,,106.03117571748123,102.15855489089357
50,gnu,1,25.0,215,2811.0,8016799.0,2982.989446,2983.727975714,316827.39,304682.67,2203189.0,294.272636484687,883995.0,_avx,106.18507872661678,102.1147612919003
51,intel,8,25.0,215,2811.0,8016799.0,495.39616,496.233966571,73209.37,50819.36,2203190.0,332.37984496124,171508.0,,147.5299454124033,102.41007956622592
52,intel,16,25.0,215,2811.0,8016799.0,226.491441,227.237297798,40273.04,23077.0,2203219.0,339.737903225806,84255.0,_avx,177.22900417430708,101.55463131987266
53,intel,24,25.0,215,2811.0,8016799.0,193.785815,194.623452466,43322.86,19771.9,2203222.0,384.627906976744,82695.0,,222.5983531330498,101.59053161105587
54,gnu,16,25.0,215,2811.0,8016799.0,333.277851,334.090801728,60358.94,34038.11,2203220.0,358.248587570621,126820.0,,180.66627302460495,101.88281097218632
55,gnu,8,25.0,215,2811.0,8016799.0,620.111441,621.063266761,85023.96,63487.04,2203193.0,322.965732087227,207344.0,_avx,136.90064209306917,102.22314440057092
56,gnu,24,25.0,215,2811.0,8016799.0,262.478792,263.258650243,55011.0,26795.54,2203200.0,381.119718309859,108238.0,,208.96179460474437,101.78408183460058
57,intel,16,25.0,215,2811.0,8016799.0,265.684864,266.513156586,50985.24,27439.62,2203170.0,362.787456445993,104120.0,,191.30477704408483,102.957844001017
58,gnu,38,25.0,215,2811.0,8016799.0,220.694661,221.424796221,52917.85,22492.79,2203233.0,408.450413223141,98845.0,_avx,238.98791329216655,101.5820738412258
59,gnu,8,25.0,215,2811.0,8016799.0,517.22827,518.043988459,74503.03,52947.06,2203168.0,324.697026022305,174687.0,,143.81603041398182,102.20572225439582
60,intel,1,25.0,215,2811.0,8016799.0,3706.577576,3707.329698821,394185.17,378950.46,2203186.0,294.482693855648,1097537.0,,106.32590085671588,102.21655228573637
61,gnu,38,25.0,215,2811.0,8016799.0,197.455573,198.244395041,48985.78,20172.93,2203184.0,,89790.0,,247.09793177188683,101.75788322200953
62,gnu,16,25.0,215,2811.0,8016799.0,376.513564,377.269531592,64971.62,38685.06,2203197.0,353.979848866499,140530.0,_avx,172.215391276982,102.53958181239015
63,gnu,32,25.0,215,2811.0,8016799.0,217.563341,218.380325622,52515.12,22432.36,2203180.0,407.987447698745,97509.0,,240.47550918529058,102.72152464333595
64,intel,16,25.0,215,2811.0,8016799.0,266.019427,266.852866418,50985.91,27249.09,2203194.0,360.354166666667,103782.0,,191.06375241304454,102.112787341459
65,gnu,32,25.0,215,2811.0,8016799.0,217.408118,218.19414674,52340.74,22208.36,2203204.0,400.112970711297,95627.0,,239.8815036150772,101.78256535205533
66,intel,32,25.0,215,2811.0,8016799.0,133.744474,134.505852714,31101.72,13774.23,2203203.0,378.87012987013,58346.0,_avx,231.22949204397545,102.40617580625405
67,intel,32,25.0,215,2811.0,8016799.0,157.995281,158.847668326,38118.64,16095.36,2203178.0,393.324022346369,70405.0,,239.96977986337106,101.32575548397604
68,intel,24,25.0,215,2811.0,8016799.0,166.966453,167.698663261,33985.88,17055.41,2203223.0,362.117021276596,68078.0,_avx,202.66041087701234,101.70271884311677
69,intel,32,25.0,215,2811.0,8016799.0,133.965071,134.741790202,31140.14,13695.16,2203227.0,376.4,58342.0,_avx,231.10973925250534,101.64003298062697
70,gnu,32,25.0,215,2811.0,8016799.0,216.828922,217.625744576,52374.68,22127.63,2203228.0,406.761506276151,97216.0,,240.6639899247285,101.67744649472074
71,gnu,38,25.0,215,2811.0,8016799.0,221.716072,222.435255505,53131.45,22677.82,2203209.0,408.342975206612,98819.0,_avx,238.8625394808679,101.95245330383446
72,intel,24,25.0,215,2811.0,8016799.0,194.060288,194.905818711,43415.45,19923.63,2203198.0,385.823255813953,82952.0,,222.75091778750337,102.22183273831405
73,gnu,1,25.0,215,2811.0,8016799.0,2594.849254,2595.63327057,275421.52,264795.61,2203212.0,294.24120795107,769735.0,,106.10956606343605,102.01580207894737
