Workers,Standard deviation non vectorized HPDBSCAN,Standard deviation vectorized HPDBSCAN,Vectorized runtime,Non vectorized runtime,Dataset
1,11.025418829019372,11.025418829019372,113.1283472,1552.057408,Bridge
2,0.4384452437658746,0.4384452437658746,107.4910284,1285.9321522,Bridge
4,10.066388385134488,10.066388385134488,96.1412702,1229.7444056,Bridge
6,2.441624883702736,2.441624883702736,96.5044448,1183.5964758000002,Bridge
8,4.474771746443575,4.474771746443575,94.4884274,1158.5958886,Bridge
12,5.45891059159735,5.45891059159735,90.865782,1190.240477,Bridge
16,36.56141435788729,36.56141435788729,89.6540466,1157.7764748,Bridge
20,10.918130586599062,10.918130586599062,80.4479812,1227.0980183999998,Bridge
24,26.62592318098541,26.62592318098541,79.09844380000001,1159.1844594,Bridge
28,18.848235175026254,18.848235175026254,69.46597599999998,1226.3330644000002,Bridge
32,37.53559251498049,37.53559251498049,73.6698276,1132.0628262000002,Bridge
36,12.639396425612206,12.639396425612206,70.0174216,1125.4965086,Bridge
40,139.6709720350875,139.6709720350875,66.6027182,1225.6355012,Bridge
44,34.22759227185007,34.22759227185007,68.9046216,1161.9027382,Bridge
48,33.766908354566255,33.766908354566255,65.67284980000001,1200.8620704,Bridge
1,5.190722516,4.982797223,283.8012204,582.8000552,Bremen
2,2.529882192,1.22211558,156.8208816,308.737746,Bremen
4,1.570506886,0.9582105751,101.0713032,194.4424924,Bremen
6,1.257071834,0.6476591964,76.0827402,140.875677,Bremen
8,0.5463637482,1.131228933,60.7702864,109.2810586,Bremen
12,0.9174723042,0.7075427886,47.7281602,80.085245,Bremen
16,0.5026451849,0.457268642,39.5158146,64.25277,Bremen
20,0.5315399682,0.5884114551,35.9742954,54.5783324,Bremen
24,0.4353595424,0.3290955049,32.9818348,48.866584,Bremen
28,0.3785276067,0.4368832548,30.162172,43.8674272,Bremen
32,0.4444622057,0.3666854426,28.1941428,40.1743442,Bremen
36,0.3142408632,0.4662260785,27.0883692,38.193399,Bremen
40,0.3109395514,0.3146192899,26.22116,36.3560564,Bremen
44,0.3446812781,0.4749112595,24.8664744,33.6709114,Bremen
48,0.5275874891,0.3324064552,25.6326142,33.7543574,Bremen
1,0.4240978317,5.938323236,267.4444116,523.7385464,Household
2,0.4091627517,4.212688405,147.762311,285.9280288,Household
4,0.119367209,1.977030574,89.9369652,149.4112836,Household
6,0.1391968713,0.3658568688,47.7767426,107.8952754,Household
8,0.07842451325,0.2816091485,39.409641,92.679662,Household
12,0.09382312796,0.3798871794,32.466745,64.704301,Household
16,0.05665789393,0.6358657846,30.799268,54.6316042,Household
20,0.03451778722,0.2021819545,24.6432676,46.815536,Household
24,0.08086522399,0.1776784005,21.8626424,41.5624578,Household
28,0.02799202214,0.2013960494,19.0698102,37.3096048,Household
32,0.04388208813,0.2527970192,19.5665612,34.1986446,Household
36,0.04530893875,0.1449040477,16.0781734,32.129015,Household
40,0.07830170539,0.09439233494,18.5324858,30.9304908,Household
44,0.05391774516,0.0873574188,16.738194,29.6811524,Household
48,0.04646230751,0.3548730552,17.8961902,29.1109224,Household
